RU,Pays,OA,PMA,Activité,EJ cible,Niveau de confiance,Pourquoi,Vol
G-SP,Espagne,OA021,PMA_8040,Valuation,EJ_21913,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",2
G-SP,Espagne,OA030,PMA_8017,Office Property & Facility Management,EJ_21913,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",8.6999999999999993
G-SP,Espagne,OA040,PMA_8015,Office Property Developement,EJ_21913,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",0.1
G-IR,Irlande,OA010,PMA_8037,Letting & Sales,EJ_42444,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",5.3
G-IR,Irlande,OA011,PMA_8041,Investment,EJ_42444,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",8.8000000000000007
G-IR,Irlande,OA020,PMA_8023,Consulting & Corporate Real Estate,EJ_42444,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",1.3
G-IR,Irlande,OA021,PMA_8040,Valuation,EJ_42444,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",2.4
G-IR,Irlande,OA030,PMA_8017,Office Property & Facility Management,EJ_42444,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",6.8
G-ITAR,Italie,OA010,PMA_8037,Letting & Sales,EJ_40711,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",9.6999999999999993
G-ITAR,Italie,OA011,PMA_8041,Investment,EJ_40711,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",5.2
G-ITAR,Italie,OA017,PMA_8028,Residential Retail Sales/ Residential Agency,EJ_40711,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",5.3
G-ITAR,Italie,OA021,PMA_8040,Valuation,EJ_40711,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",5.8
G-ITBNL,Italie,OA060,PMA_8021,Investment Management,EJ_41277,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",26
G-ITMP,Italie,OA040,PMA_8015,Office Property Developement,EJ_42089,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",2.1
G-ITNAZCA,Italie,OA030,PMA_8017,Office Property & Facility Management,EJ_42445,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",30.2
G-RESH,Italie,OA005,PMA_8033,Holding,EJ_46520,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",1.5
G-RESH,Italie,OA010,PMA_8037,Letting & Sales,EJ_46520,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",0.8
G-RESH,Italie,OA011,PMA_8041,Investment,EJ_46520,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",1.2
G-RESH,Italie,OA017,PMA_8028,Residential Retail Sales/ Residential Agency,EJ_46520,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",1.9
G-RESH,Italie,OA021,PMA_8040,Valuation,EJ_46520,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",0.8
G-RESH,Italie,OA030,PMA_8017,Office Property & Facility Management,EJ_46520,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",5.5
G-RESH,Italie,OA040,PMA_8015,Office Property Developement,EJ_46520,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",0.5
G-RESH,Italie,OA060,PMA_8021,Investment Management,EJ_46520,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",6.1
G-LX,Luxembourg,OA010,PMA_8037,Letting & Sales,EJ_21912,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",2.4
G-LX,Luxembourg,OA011,PMA_8041,Investment,EJ_21912,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",2.5
G-LX,Luxembourg,OA021,PMA_8040,Valuation,EJ_21912,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",1.2
G-LX,Luxembourg,OA030,PMA_8017,Office Property & Facility Management,EJ_21912,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",10.1
G-REIMLUX,Luxembourg,OA060,PMA_8021,Investment Management,EJ_47218,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",25.2
G-REIMLUX,Luxembourg,OA061,PMA_8022,Investment Services,EJ_47218,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",23.2
G-NL,Pays-Bas,OA010,PMA_8037,Letting & Sales,EJ_58073,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",0
G-NL,Pays-Bas,OA011,PMA_8041,Investment,EJ_58073,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",10.9
G-NL,Pays-Bas,OA011O,NOT USED,(OA technique — PMA non utilisé),EJ_58073,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",1.1000000000000001
G-NL,Pays-Bas,OA020,PMA_8023,Consulting & Corporate Real Estate,EJ_58073,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",3.9
G-NL,Pays-Bas,OA021,PMA_8040,Valuation,EJ_58073,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",2.2000000000000002
G-NL,Pays-Bas,OA030,PMA_8017,Office Property & Facility Management,EJ_58073,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",10.7
G-POL,Pologne,OA010,PMA_8037,Letting & Sales,EJ_56392,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",80
G-POL,Pologne,OA011,PMA_8041,Investment,EJ_56392,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",32.9
G-POL,Pologne,OA020O,PMA_8047,Traker,EJ_56392,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",2.9
G-POL,Pologne,OA021,PMA_8040,Valuation,EJ_56392,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",14.2
G-POL,Pologne,OA030,PMA_8017,Office Property & Facility Management,EJ_56392,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",59.8
G-PRTPROMO,Portugal,OA045,PMA_8016,International Office Property Developement,EJ_66208,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",8
G-SGP,Singapour,OA005,PMA_8033,Holding,EJ_66206,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",1.2
G-UKPROMO,UK,OA040,PMA_8015,Office Property Developement,EJ_56785,Déterministe — RU mono-EJ,"Le RU ne correspond qu'à une seule EJ active : rattachement direct, sans ambiguïté. EJ présente dans le cube de mars.",1
G-FRAR,France,OA010,PMA_8037,Letting & Sales,EJ_21890,Déterministe — activité dédiée (FR),"En France cette activité est portée par une société dédiée unique ; le couple (RU, activité) désigne l'EJ sans arbitrage. EJ présente dans le cube.",220.7
G-FRAR,France,OA011,PMA_8041,Investment,EJ_21890,Déterministe — activité dédiée (FR),"En France cette activité est portée par une société dédiée unique ; le couple (RU, activité) désigne l'EJ sans arbitrage. EJ présente dans le cube.",68.3
G-FRAR,France,OA011O,NOT USED,(OA technique — PMA non utilisé),EJ_21890,Déterministe — activité dédiée (FR),"En France cette activité est portée par une société dédiée unique ; le couple (RU, activité) désigne l'EJ sans arbitrage. EJ présente dans le cube.",0.9
G-FRAR,France,OA020,PMA_8023,Consulting & Corporate Real Estate,EJ_21732,Déterministe — activité dédiée (FR),"En France cette activité est portée par une société dédiée unique ; le couple (RU, activité) désigne l'EJ sans arbitrage. EJ présente dans le cube.",16.100000000000001
G-FRAR,France,OA020O,PMA_8047,Traker,EJ_21732,Déterministe — activité dédiée (FR),"En France cette activité est portée par une société dédiée unique ; le couple (RU, activité) désigne l'EJ sans arbitrage. EJ présente dans le cube.",7
G-FRAR,France,OA021,PMA_8040,Valuation,EJ_36028,Déterministe — activité dédiée (FR),"En France cette activité est portée par une société dédiée unique ; le couple (RU, activité) désigne l'EJ sans arbitrage. EJ présente dans le cube.",47.8
G-FRMP,France,OA017,PMA_8028,Residential Retail Sales/ Residential Agency,EJ_21722,Déterministe — activité dédiée (FR),"En France cette activité est portée par une société dédiée unique ; le couple (RU, activité) désigne l'EJ sans arbitrage. EJ présente dans le cube.",17
G-FRMP,France,OA030,PMA_8017,Office Property & Facility Management,EJ_21710,Déterministe — activité dédiée (FR),"En France cette activité est portée par une société dédiée unique ; le couple (RU, activité) désigne l'EJ sans arbitrage. EJ présente dans le cube.",190.4
G-FRMP,France,OA031,PMA_8018,Office Property Management - International,EJ_21710,Déterministe — activité dédiée (FR),"En France cette activité est portée par une société dédiée unique ; le couple (RU, activité) désigne l'EJ sans arbitrage. EJ présente dans le cube.",4.3
G-FRMP,France,OA031O,PMA_8019,PDI,EJ_21710,Déterministe — activité dédiée (FR),"En France cette activité est portée par une société dédiée unique ; le couple (RU, activité) désigne l'EJ sans arbitrage. EJ présente dans le cube.",3.1
G-FRMP,France,OA036,PMA_8011,Student Residences,EJ_40530,Déterministe — activité dédiée (FR),"En France cette activité est portée par une société dédiée unique ; le couple (RU, activité) désigne l'EJ sans arbitrage. EJ présente dans le cube.",43.5
G-FRMP,France,OA037,PMA_8012,Tourist Residences,EJ_40530,Déterministe — activité dédiée (FR),"En France cette activité est portée par une société dédiée unique ; le couple (RU, activité) désigne l'EJ sans arbitrage. EJ présente dans le cube.",29.3
G-DE,Allemagne,OA010,PMA_8037,Letting & Sales,EJ_21904,Confirmé par le cube (Allemagne),"G-DE porte 4 EJ. Le cube de mars montre cette activité chez EJ_21904 (Letting & Sales + Investment + Residential Sales). [corrigé d'après le cube] EJ_21902 ne porte que du négatif (centralisation/carto), traité à part.",232.1
G-DE,Allemagne,OA011,PMA_8041,Investment,EJ_21904,Confirmé par le cube (Allemagne),"G-DE porte 4 EJ. Le cube de mars montre cette activité chez EJ_21904 (Letting & Sales + Investment + Residential Sales). [corrigé d'après le cube] EJ_21902 ne porte que du négatif (centralisation/carto), traité à part.",84.2
G-DE,Allemagne,OA017,PMA_8028,Residential Retail Sales/ Residential Agency,EJ_21904,Confirmé par le cube (Allemagne),"G-DE porte 4 EJ. Le cube de mars montre cette activité chez EJ_21904 (Letting & Sales + Investment + Residential Sales). [corrigé d'après le cube] EJ_21902 ne porte que du négatif (centralisation/carto), traité à part.",21.1
G-DE,Allemagne,OA020,PMA_8023,Consulting & Corporate Real Estate,EJ_21906,Confirmé par le cube (Allemagne),"G-DE porte 4 EJ. Le cube de mars montre cette activité chez EJ_21906 (Valuation + Consulting). EJ_21902 ne porte que du négatif (centralisation/carto), traité à part.",39.200000000000003
G-DE,Allemagne,OA021,PMA_8040,Valuation,EJ_21906,Confirmé par le cube (Allemagne),"G-DE porte 4 EJ. Le cube de mars montre cette activité chez EJ_21906 (Valuation + Consulting). EJ_21902 ne porte que du négatif (centralisation/carto), traité à part.",15.8
G-DE,Allemagne,OA030,PMA_8017,Office Property & Facility Management,EJ_21905,Confirmé par le cube (Allemagne),"G-DE porte 4 EJ. Le cube de mars montre cette activité chez EJ_21905 (Office Property & Facility Mgt). EJ_21902 ne porte que du négatif (centralisation/carto), traité à part.",71.3
G-UK,UK,OA005O,NOT USED,(OA technique — PMA non utilisé),EJ_21898,Confirmé par le cube (règle UK),Toute l'activité UK va par défaut sur EJ_21898 (APM UK). Profil vérifié sur les volumes du cube de mars.,1.5
G-UK,UK,OA006,PMA_8034,Holding International,EJ_21898,Confirmé par le cube (règle UK),Toute l'activité UK va par défaut sur EJ_21898 (APM UK). Profil vérifié sur les volumes du cube de mars.,1.1000000000000001
G-UK,UK,OA010,PMA_8037,Letting & Sales,EJ_21898,Confirmé par le cube (règle UK),Toute l'activité UK va par défaut sur EJ_21898 (APM UK). Profil vérifié sur les volumes du cube de mars.,25.2
G-UK,UK,OA011,PMA_8041,Investment,EJ_21898,Confirmé par le cube (règle UK),Toute l'activité UK va par défaut sur EJ_21898 (APM UK). Profil vérifié sur les volumes du cube de mars.,32.4
G-UK,UK,OA017,PMA_8028,Residential Retail Sales/ Residential Agency,EJ_21898,Confirmé par le cube (règle UK),Toute l'activité UK va par défaut sur EJ_21898 (APM UK). Profil vérifié sur les volumes du cube de mars.,130
G-UK,UK,OA020,PMA_8023,Consulting & Corporate Real Estate,EJ_21898,Confirmé par le cube (règle UK),Toute l'activité UK va par défaut sur EJ_21898 (APM UK). Profil vérifié sur les volumes du cube de mars.,24.2
G-UK,UK,OA021,PMA_8040,Valuation,EJ_21898,Confirmé par le cube (règle UK),Toute l'activité UK va par défaut sur EJ_21898 (APM UK). Profil vérifié sur les volumes du cube de mars.,62.9
G-UK,UK,OA022,PMA_8025,Space consulting & Space Planning,EJ_21898,Confirmé par le cube (règle UK),Toute l'activité UK va par défaut sur EJ_21898 (APM UK). Profil vérifié sur les volumes du cube de mars.,26.4
G-UK,UK,OA023,PMA_8027,Residential Development & Planning,EJ_21898,Confirmé par le cube (règle UK),Toute l'activité UK va par défaut sur EJ_21898 (APM UK). Profil vérifié sur les volumes du cube de mars.,31
G-UK,UK,OA024,PMA_8024,Rural Consultancy,EJ_21898,Confirmé par le cube (règle UK),Toute l'activité UK va par défaut sur EJ_21898 (APM UK). Profil vérifié sur les volumes du cube de mars.,70.900000000000006
G-UK,UK,OA030,PMA_8017,Office Property & Facility Management,EJ_21898,Confirmé par le cube (règle UK),Toute l'activité UK va par défaut sur EJ_21898 (APM UK). Profil vérifié sur les volumes du cube de mars.,90.7
G-UK,UK,OA060,PMA_8021,Investment Management,EJ_21901,Confirmé par le cube (règle UK),"Exception UK : l'Investment Management va sur EJ_21901 (REIM UK), pas sur APM UK. Vérifié dans le cube.",7.6
G-UK,UK,OA071O,PMA_8030,REOS Portfolio Management,EJ_21898,Confirmé par le cube (règle UK),Toute l'activité UK va par défaut sur EJ_21898 (APM UK). Profil vérifié sur les volumes du cube de mars.,19.3
G-DE,Allemagne,OA019O,PMA_8038,Coordination Advisory,EJ_21906,Proposé — à confirmer,"G-DE : Coordination Advisory non observé distinctement dans le cube. Routage proposé, à confirmer CDG.",1.5
G-FRAR,France,OA019O,PMA_8038,Coordination Advisory,EJ_21890,Proposé — à confirmer,"Routage par défaut (holding / coordination, ex. EJ_41015 GIE). Non observé finement dans le cube — à confirmer CDG.",2.5
G-HDBNPPI,France,OA005,PMA_8033,Holding,EJ_41015,Proposé — à confirmer,"Routage par défaut (holding / coordination, ex. EJ_41015 GIE). Non observé finement dans le cube — à confirmer CDG.",660.5
G-HDBNPPI,France,OA006,PMA_8034,Holding International,EJ_41015,Proposé — à confirmer,"Routage par défaut (holding / coordination, ex. EJ_41015 GIE). Non observé finement dans le cube — à confirmer CDG.",10.5
G-HDBNPPI,France,OA019O,PMA_8038,Coordination Advisory,EJ_21890,Proposé — à confirmer,"Routage par défaut (holding / coordination, ex. EJ_41015 GIE). Non observé finement dans le cube — à confirmer CDG.",4.2
